date,adm1_name,battle_count,riot_count,conflict_intensity,avg_latitude,avg_longitude
2010-01-15,Abia,0,0,0,5.5342,7.8893
2010-01-15,Anambra,0,0,0,6.11,7.0724
2010-01-15,Bauchi,1,0,73,10.3134,9.8433
2010-01-15,Bayelsa,0,1,0,4.9247,6.2642
2010-01-15,Benue,1,0,6,7.7411,8.5121
2010-01-15,Cross River,4,0,3,5.944100000000001,8.854800000000001
2010-01-15,Delta,1,0,11,5.6656,5.91535
2010-01-15,Ebonyi,1,0,0,6.231,8.0434
2010-01-15,Edo,0,0,2,6.34474,5.61866
2010-01-15,Ekiti,0,0,0,7.4913,5.2323
2010-01-15,Enugu,6,2,2,6.449022222222222,7.426933333333333
2010-01-15,Federal Capital Territory,0,0,0,9.0833,7.5333
2010-01-15,Imo,1,0,30,5.4416,6.8312
2010-01-15,Kaduna,0,1,0,10.5222,7.4383
2010-01-15,Katsina,0,0,0,11.5545,7.4243
2010-01-15,Lagos,1,1,1,6.4531,3.3958
2010-01-15,Ogun,0,2,0,6.8161,3.9159
2010-01-15,Osun,0,1,1,7.72475,4.80375
2010-01-15,Plateau,9,4,692,9.718152,8.907756
2010-01-15,Rivers,1,0,2,4.7774,7.0134
2010-02-15,Borno,1,0,7,11.8312,13.1517
2010-02-15,Ebonyi,2,0,20,6.316300000000001,8.1169
2010-02-15,Edo,1,1,2,6.5386,5.88325
2010-02-15,Federal Capital Territory,1,0,2,8.90735,7.39805
2010-02-15,Gombe,4,0,6,9.8142,11.3089
2010-02-15,Kebbi,1,0,1,11.2476,4.3646
2010-02-15,Kogi,1,0,2,7.5456,6.2538
2010-02-15,Lagos,0,0,1,6.4167,2.8833
2010-02-15,Nassarawa,1,0,0,8.4833,8.5167
2010-02-15,Niger,1,0,7,9.6139,6.5569
2010-02-15,Ondo,1,2,1,7.54425,5.7735
2010-02-15,Osun,0,0,1,7.7667,4.5667
2010-02-15,Oyo,1,0,0,7.3776,3.9059
2010-02-15,Plateau,1,0,1,9.591650000000001,8.78335
2010-02-15,Rivers,1,0,2,4.7774,7.0134
2010-02-15,Sokoto,1,0,0,13.048,5.2143
2010-03-15,Abia,1,0,3,5.31645,7.4281500000000005
2010-03-15,Bauchi,2,0,38,10.058933333333334,9.7622
2010-03-15,Bayelsa,1,0,7,4.91065,6.1693
2010-03-15,Cross River,1,0,0,5.810700000000001,8.565449999999998
2010-03-15,Delta,1,0,5,5.827866666666666,6.161033333333333
2010-03-15,Edo,2,0,3,6.4345,5.5681
2010-03-15,Federal Capital Territory,0,1,0,8.69905,7.25
2010-03-15,Imo,0,0,0,5.4833,7.0304
2010-03-15,Kaduna,1,0,0,9.6667,7.8167
2010-03-15,Kebbi,0,0,0,12.4539,4.1975
2010-03-15,Kogi,1,0,7,7.6897,7.0438
2010-03-15,Lagos,1,0,2,6.49115,3.3587499999999997
2010-03-15,Niger,1,0,2,9.2833,5.05
2010-03-15,Ogun,0,0,2,6.824249999999999,3.7794499999999998
2010-03-15,Ondo,0,0,0,7.2526,5.1931
2010-03-15,Oyo,1,0,2,7.6167,3.925
2010-03-15,Plateau,3,4,331,9.857333333333333,8.90228
2010-03-15,Rivers,1,0,0,4.7339,7.23
2010-03-15,Sokoto,0,0,1,13.048,5.2143
2010-03-15,Yobe,1,0,1,11.747,11.9608
2010-04-15,Abia,1,0,2,5.00065,7.253450000000001
2010-04-15,Bauchi,0,0,2,9.7333,9.2333
2010-04-15,Bayelsa,4,2,9,4.946042857142857,6.017428571428572
2010-04-15,Benue,0,1,0,7.7411,8.5121
2010-04-15,Cross River,1,0,0,5.9929,8.0122
2010-04-15,Delta,2,1,5,5.673975,6.20325
2010-04-15,Federal Capital Territory,2,1,1,9.0397,7.554449999999999
2010-04-15,Imo,0,0,0,5.4833,7.0304
2010-04-15,Kaduna,1,2,12,10.777666666666667,6.907933333333332
2010-04-15,Kano,0,1,1,12.0,8.5167
2010-04-15,Lagos,0,4,3,6.449742857142858,3.4644
2010-04-15,Niger,2,0,0,11.2005,4.9439
2010-04-15,Ogun,1,0,2,6.7053,3.2398
2010-04-15,Osun,1,0,3,7.9495,4.7908
2010-04-15,Plateau,3,1,186,9.755333333333333,8.858491666666668
2010-04-15,Rivers,0,0,1,4.7774,7.0134
2010-05-15,Adamawa,0,0,0,9.2,12.4833
2010-05-15,Akwa Ibom,1,0,4,5.0333,7.9266
2010-05-15,Bauchi,0,0,1,10.8833,10.6167
2010-05-15,Benue,1,0,0,7.5,9.3333
2010-05-15,Borno,0,0,1,11.8312,13.1517
2010-05-15,Cross River,0,0,1,4.9667,8.3333
2010-05-15,Delta,1,0,3,5.4842,6.0785
2010-05-15,Edo,0,0,0,6.3811,5.5698
2010-05-15,Enugu,0,0,0,6.3079,7.5519
2010-05-15,Federal Capital Territory,0,1,0,9.0833,7.5333
2010-05-15,Kebbi,0,0,7,12.4539,4.1975
2010-05-15,Lagos,0,0,2,6.4531,3.3958
2010-05-15,Niger,1,0,1,9.2833,5.05
2010-05-15,Ogun,1,0,4,6.8144,3.1958
2010-05-15,Oyo,0,0,1,8.1333,4.2667
2010-05-15,Plateau,1,1,4,9.9285,8.8921
