countryiso3,date,admin1,admin2,market,market_id,latitude,longitude,category,commodity,commodity_id,unit,priceflag,pricetype,currency,price,usdprice
AFG,2010-01-15,Badakhshan,Faiz Abad,Fayzabad,266,37.12,70.58,cereals and tubers,Rice (low quality),145,KG,actual,Retail,AFN,41.9,0.92
AFG,2010-01-15,Badakhshan,Faiz Abad,Fayzabad,266,37.12,70.58,cereals and tubers,Wheat,84,KG,actual,Retail,AFN,14.82,0.33
AFG,2010-01-15,Balkh,Mazar-e-Sharif,Mazar,267,36.73,67.11,cereals and tubers,Rice (low quality),145,KG,actual,Retail,AFN,32,0.71
AFG,2010-01-15,Balkh,Mazar-e-Sharif,Mazar,267,36.73,67.11,cereals and tubers,Wheat,84,KG,actual,Retail,AFN,12,0.26
AFG,2010-01-15,Daykundi,Nili,Nili,275,33.71,66.11,cereals and tubers,Rice (low quality),145,KG,actual,Retail,AFN,32.5,0.72
AFG,2010-01-15,Daykundi,Nili,Nili,275,33.71,66.11,cereals and tubers,Wheat,84,KG,actual,Retail,AFN,23,0.51
AFG,2010-01-15,Faryab,Maymana,Maymana,269,35.92,64.78,cereals and tubers,Rice (low quality),145,KG,actual,Retail,AFN,36.25,0.8
AFG,2010-01-15,Faryab,Maymana,Maymana,269,35.92,64.78,cereals and tubers,Wheat,84,KG,actual,Retail,AFN,13.85,0.31
AFG,2010-01-15,Ghor,Chaghcharan,Ghor,276,34.52,65.25,cereals and tubers,Rice (low quality),145,KG,actual,Retail,AFN,66.75,1.47
AFG,2010-01-15,Ghor,Chaghcharan,Ghor,276,34.52,65.25,cereals and tubers,Wheat,84,KG,actual,Retail,AFN,12,0.26
AFG,2010-01-15,Hirat,Hirat,Hirat,270,34.35,62.2,cereals and tubers,Bread,55,KG,actual,Retail,AFN,30,0.66
AFG,2010-01-15,Hirat,Hirat,Hirat,270,34.35,62.2,cereals and tubers,Rice (low quality),145,KG,actual,Retail,AFN,26,0.57
AFG,2010-01-15,Hirat,Hirat,Hirat,270,34.35,62.2,cereals and tubers,Wheat,84,KG,actual,Retail,AFN,12.2,0.27
AFG,2010-01-15,Hirat,Hirat,Hirat,270,34.35,62.2,cereals and tubers,Wheat flour,58,KG,actual,Retail,AFN,16.88,0.37
AFG,2010-01-15,Kabul,Kabul,Kabul,271,34.52,69.18,cereals and tubers,Bread,55,KG,actual,Retail,AFN,29.48,0.65
AFG,2010-01-15,Kabul,Kabul,Kabul,271,34.52,69.18,cereals and tubers,Rice (low quality),145,KG,actual,Retail,AFN,28.25,0.62
AFG,2010-01-15,Kabul,Kabul,Kabul,271,34.52,69.18,cereals and tubers,Wheat,84,KG,actual,Retail,AFN,15,0.33
